# GsakName=Denmark
# This Country polygon is based on data © OpenStreetMap contributors
# The OpenStreetMap data is made available under the Open Database License, see http://www.openstreetmap.org/copyright
# This polygon file is made available under the same Open Database License: http://opendatacommons.org/licenses/odbl/1.0/.
# Bounding Box: 57.9524297,54.4516667,12.9058301,7.7153255
54.9020367,8.9130593
54.9023267,8.9128833
54.9028157,8.9131373
54.9032506,8.9130103
54.9033226,8.9116805
54.9038725,8.9105017
54.9038835,8.9039458
54.9043145,8.9029669
54.9044744,8.9016361
54.9040625,8.8968859
54.9040625,8.8946263
54.9046314,8.8933965
54.9049474,8.8918397
54.9042994,8.890333
54.9039985,8.8887982
54.9025866,8.8870365
54.9021596,8.8830142
54.9021596,8.8816334
54.9021176,8.8812315
54.9019876,8.8802766
54.9021786,8.8789198
54.9021056,8.8772891
54.9015297,8.8763063
54.9010687,8.8750245
54.8994819,8.8729608
54.8992529,8.8723059
54.8996299,8.8703223
54.8998548,8.865601
54.898799,8.8643932
54.898413,8.8629335
54.8976651,8.8621006
54.8972921,8.8605449
54.8967604,8.8598336
54.8972566,8.8499996
54.8973579,8.8487889
54.8989249,8.8450743
54.9018995,8.840863
54.9055891,8.8366286
54.9059661,8.8349209
54.906706,8.8329882
54.9060549,8.8326827
54.906199,8.8318314
54.9056801,8.8294458
54.9058671,8.8290189
54.906302,8.8292638
54.9068169,8.8239937
54.90573,8.8228559
54.9056151,8.822159
54.9039712,8.8185316
54.9040172,8.8142133
54.9046731,8.8122116
54.9046431,8.8116367
54.905909,8.8110008
54.9049861,8.8021022
54.9045591,8.7991847
54.9046581,8.7987608
54.9025063,8.7988558
54.9020334,8.7953923
54.9015224,8.7933257
54.8997946,8.7905222
54.8984398,8.7869907
54.8978758,8.7813756
54.8976998,8.7811167
54.8972229,8.7810737
54.896044,8.7789091
54.8954531,8.7773293
54.8954871,8.7764385
54.8926454,8.7769914
54.8945071,8.7595632
54.8968418,8.7551269
54.8971767,8.7504952
54.8957473,8.7500961
54.8931682,8.7379577
54.8930312,8.7350452
54.8927577,8.7278629
54.8951304,8.7199204
54.8964076,8.7163921
54.8972674,8.7165289
54.8988538,8.7097968
54.9009388,8.7076089
54.9027619,8.7010799
54.9036338,8.6998073
54.904653,8.6968871
54.905322,8.6959851
54.9069295,8.6916512
54.9088386,8.6871246
54.9105064,8.6806725
54.9108933,8.6775207
54.9108472,8.6754908
54.9114409,8.6693566
54.908677,8.6598394
54.9113799,8.6380717
54.9115263,8.6365346
54.9115702,8.6360304
54.91269,8.623166
54.920839,8.555431
54.992817,8.557248
54.992637,8.519182
55.000013,8.501565
55.025338,8.472164
55.04663,8.477877
55.054718,8.472381
55.069277,8.395479
55.068415,8.388323
55.064763,8.386344
55.063456,8.365234
55.06529,8.346845
55.068958,8.340622
55.07779,8.335314
55.083623,8.329204
55.08501,8.31865
55.084732,8.312261
55.08279,8.305592
55.074733,8.290037
55.064762,8.290037
55.099161,8.044381
55.2132217,8.0489235
55.2852132,8.0550405
55.3484197,7.997984
55.3577947,7.9887995
55.3599037,7.9800325
55.3655542,7.958982
55.3671562,7.9538995
55.3710077,7.936919
55.3766502,7.9158565
55.3810442,7.901465
55.3846297,7.890313
55.3917827,7.8707085
55.3996472,7.8519605
55.4081897,7.8341485
55.4173747,7.8173485
55.4271627,7.8016325
55.4375127,7.7870685
55.4483807,7.773718
55.4597202,7.7616395
55.4714837,7.7508855
55.4836207,7.741503
55.4949587,7.734184
55.5097632,7.7264485
55.5227057,7.721403
55.5358077,7.717857
55.5490132,7.7158275
55.5622657,7.7153255
55.5755082,7.7163535
55.5886847,7.71891
55.6026772,7.7233105
55.6155512,7.7288875
55.6302502,7.7369835
55.6367402,7.7412355
55.6441452,7.746535
55.6622112,7.7615935
55.7004962,7.783038
55.7115412,7.789671
55.7234862,7.7957325
55.7334642,7.8002765
55.7532532,7.810421
55.7586987,7.8121405
55.7715577,7.8177635
55.7735672,7.818366
55.7750982,7.8180455
55.7845027,7.8144235
55.7936567,7.811321
55.8121592,7.806421
55.8172466,7.8056139
55.8336277,7.8010435
55.8435072,7.7993895
55.8681387,7.7942305
55.8872247,7.791203
55.9025892,7.7878075
55.9082337,7.7861885
55.9120052,7.782705
55.9241447,7.7732245
55.9366062,7.7651725
55.9493357,7.758585
55.9622797,7.753492
55.9753827,7.749916
55.9885892,7.7478735
55.9907377,7.747793
56.0019967,7.7441775
56.0150092,7.7408715
56.0306637,7.738577
56.0451902,7.737491
56.0568612,7.737232
56.0751207,7.7379995
56.0883632,7.7390485
56.0991287,7.7404385
56.1185442,7.744399
56.1269302,7.745543
56.1357752,7.747117
56.1577187,7.751629
56.1627282,7.752211
56.1759037,7.7548185
56.1851497,7.757593
56.1948017,7.759671
56.2057622,7.759457
56.2190042,7.760517
56.2305827,7.76273
56.2563557,7.7612925
56.2703912,7.7579545
56.2981827,7.753763
56.3114352,7.753263
